Time,Channel B,Channel C
(ns),(mV),(mV)

-31.19999911,-1.96850400,-0.39370070
-30.79999911,-1.18110200,-1.18110200
-30.39999910,-1.96850400,-0.39370070
-29.99999910,-1.18110200,-1.18110200
-29.59999909,-1.57480300,-0.78740150
-29.19999909,-1.57480300,-0.78740150
-28.79999908,-1.96850400,-0.39370070
-28.39999907,-1.57480300,-0.78740150
-27.99999907,-1.57480300,-0.78740150
-27.59999906,-1.18110200,-0.78740150
-27.19999906,-1.57480300,-0.39370070
-26.79999905,-1.18110200,-0.78740150
-26.39999905,-2.36220500,0.00000000
-25.99999904,-1.18110200,-0.39370070
-25.59999904,-1.96850400,0.00000000
-25.19999903,-1.18110200,-0.78740150
-24.79999903,-1.96850400,-0.39370070
-24.39999902,-1.57480300,-0.39370070
-23.99999902,-1.96850400,-1.18110200
-23.59999901,-1.57480300,-1.18110200
-23.19999901,-1.96850400,-0.78740150
-22.79999900,-0.78740150,-0.39370070
-22.39999899,-1.96850400,-0.39370070
-21.99999899,-1.57480300,-1.18110200
-21.59999898,-1.96850400,-0.39370070
-21.19999898,-1.18110200,-1.18110200
-20.79999897,-1.96850400,-0.39370070
-20.39999897,-1.18110200,-0.78740150
-19.99999896,-1.57480300,-0.78740150
-19.59999896,-1.18110200,-0.78740150
-19.19999895,-1.96850400,-0.78740150
-18.79999895,-1.57480300,-0.78740150
-18.39999894,-1.96850400,-0.39370070
-17.99999894,-1.18110200,-0.78740150
-17.59999893,-2.36220500,-0.78740150
-17.19999893,-1.96850400,-1.18110200
-16.79999892,-1.96850400,-0.78740150
-16.39999891,-1.57480300,-0.78740150
-15.99999891,-1.57480300,-1.18110200
-15.59999890,-1.18110200,-0.78740150
-15.19999890,-2.36220500,-0.78740150
-14.79999889,-1.57480300,-0.78740150
-14.39999889,-1.96850400,-0.78740150
-13.99999888,-1.57480300,-1.18110200
-13.59999888,-2.36220500,-0.39370070
-13.19999887,-1.18110200,-0.78740150
-12.79999887,-1.96850400,-0.78740150
-12.39999886,-1.18110200,-0.78740150
-11.99999886,-2.36220500,0.00000000
-11.59999885,-1.57480300,-0.78740150
-11.19999885,-1.57480300,-0.39370070
-10.79999884,-1.57480300,-0.78740150
-10.39999883,-1.96850400,-1.18110200
-9.99999883,-0.78740150,-1.18110200
-9.59999882,-1.57480300,-0.78740150
-9.19999882,-1.57480300,-0.78740150
-8.79999881,-2.36220500,-1.18110200
-8.39999881,-1.57480300,-1.18110200
-7.99999880,-1.18110200,-1.18110200
-7.59999880,-1.57480300,-0.78740150
-7.19999879,-1.57480300,-0.78740150
-6.79999879,-1.57480300,-1.18110200
-6.39999878,-1.57480300,-0.39370070
-5.99999878,-1.57480300,-0.78740150
-5.59999877,-1.96850400,-0.78740150
-5.19999876,-1.18110200,-0.78740150
-4.79999876,-2.36220500,-0.39370070
-4.39999875,-1.18110200,-1.57480300
-3.99999875,-1.57480300,-0.78740150
-3.59999874,-1.57480300,-1.18110200
-3.19999874,-1.96850400,-0.39370070
-2.79999873,-1.18110200,-0.78740150
-2.39999873,-2.36220500,0.00000000
-1.99999872,-0.78740150,0.39370070
-1.59999872,-2.36220500,1.96850400
-1.19999871,-1.57480300,1.96850400
-0.79999871,-2.36220500,3.14960600
-0.39999870,-1.96850400,2.75590500
0.00000130,-1.96850400,3.93700800
0.40000131,-1.57480300,2.75590500
0.80000132,-1.96850400,2.75590500
1.20000132,-1.18110200,1.57480300
1.60000133,-2.36220500,1.57480300
2.00000133,-1.57480300,1.57480300
2.40000134,-1.96850400,1.18110200
2.80000134,-0.78740150,0.78740150
3.20000135,-2.36220500,0.78740150
3.60000135,-1.57480300,0.39370070
4.00000136,-1.18110200,0.39370070
4.40000136,-1.18110200,0.00000000
4.80000137,-1.96850400,0.00000000
5.20000137,-1.96850400,-0.39370070
5.60000138,-1.96850400,0.39370070
6.00000138,-1.57480300,-0.39370070
6.40000139,-2.36220500,0.00000000
6.80000140,-1.18110200,-0.39370070
7.20000140,-1.96850400,-0.39370070
7.60000141,-1.18110200,-0.39370070
8.00000141,-2.36220500,-0.39370070
8.40000142,-1.96850400,-0.78740150
8.80000142,-1.18110200,-0.78740150
9.20000143,-1.18110200,-1.18110200
9.60000143,-1.96850400,-0.39370070
10.00000144,-1.57480300,-0.78740150
10.40000144,-1.57480300,-1.18110200
10.80000145,-1.57480300,-0.78740150
11.20000145,-2.36220500,-0.78740150
11.60000146,-1.18110200,-0.78740150
12.00000146,-1.57480300,-1.18110200
12.40000147,-1.57480300,-1.18110200
12.80000148,-1.96850400,-0.78740150
13.20000148,-1.18110200,-0.78740150
13.60000149,-2.36220500,-0.78740150
14.00000149,-0.78740150,-0.78740150
14.40000150,-1.96850400,-0.39370070
14.80000150,-1.57480300,-0.78740150
15.20000151,-1.57480300,-0.78740150
15.60000151,-1.57480300,-1.18110200
16.00000152,-1.96850400,-1.18110200
16.40000152,-1.18110200,-1.18110200
16.80000153,-1.96850400,-0.78740150
17.20000153,-0.78740150,-1.18110200
