Time,Channel B,Channel C
(ns),(mV),(mV)

24.00000162,-1.57480300,-1.18110200
24.40000163,-0.39370070,0.00000000
24.80000164,-1.57480300,0.39370070
25.20000164,0.00000000,0.39370070
25.60000165,-1.18110200,0.78740150
26.00000165,-0.39370070,1.18110200
26.40000166,-0.39370070,1.57480300
26.80000166,-0.78740150,1.18110200
27.20000167,-1.18110200,1.57480300
27.60000167,-0.39370070,1.57480300
28.00000168,-1.18110200,1.57480300
28.40000168,0.00000000,1.57480300
28.80000169,-1.57480300,1.57480300
29.20000169,-0.78740150,1.57480300
29.60000170,-1.18110200,1.18110200
30.00000171,-0.39370070,0.39370070
30.40000171,-1.18110200,0.39370070
30.80000172,0.00000000,0.39370070
31.20000172,-1.18110200,1.18110200
31.60000173,-0.39370070,0.78740150
32.00000173,-1.57480300,1.18110200
32.40000174,-0.39370070,0.00000000
32.80000174,-0.78740150,0.39370070
33.20000175,-0.39370070,-0.39370070
33.60000175,-0.78740150,0.39370070
34.00000176,-0.78740150,-0.78740150
34.40000176,-1.18110200,0.00000000
34.80000177,0.00000000,0.00000000
35.20000177,-1.18110200,0.39370070
35.60000178,-0.39370070,-0.39370070
36.00000179,-1.18110200,0.00000000
36.40000179,-0.78740150,-0.78740150
36.80000180,-1.18110200,-0.39370070
37.20000180,-0.39370070,-0.78740150
37.60000181,-1.18110200,0.00000000
38.00000181,-0.78740150,-0.39370070
38.40000182,-1.57480300,0.00000000
38.80000182,-1.18110200,-0.78740150
39.20000183,-0.78740150,-0.39370070
39.60000183,-0.78740150,-0.78740150
40.00000184,-1.57480300,0.00000000
40.40000184,-0.39370070,-0.78740150
40.80000185,-1.57480300,-0.39370070
41.20000185,-0.78740150,-0.39370070
41.60000186,-1.57480300,-0.39370070
42.00000187,-0.78740150,-0.78740150
42.40000187,-0.78740150,-0.39370070
42.80000188,0.00000000,-1.18110200
43.20000188,-1.18110200,-0.39370070
43.60000189,-0.78740150,-0.78740150
44.00000189,-1.18110200,-0.78740150
44.40000190,-0.39370070,-1.18110200
44.80000190,-0.78740150,0.00000000
45.20000191,-0.78740150,-1.18110200
45.60000191,-1.57480300,0.00000000
46.00000192,-0.39370070,0.00000000
46.40000192,-1.57480300,0.00000000
46.80000193,-0.78740150,-0.78740150
47.20000193,-1.18110200,0.00000000
47.60000194,-0.39370070,-0.39370070
48.00000195,-1.57480300,0.00000000
48.40000195,-0.39370070,0.00000000
48.80000196,-1.18110200,-0.78740150
