============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Po (84)   Ion Mass= 217.9830
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer1
  Layer # 1 - Bottom Depth=100000.E-01 A
  Layer # 1 - Density =0003.0589 g/cm3
  Layer # 1 -  100 % of Xe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000102   7.4551E+02  4.4188E+02 -2.3214E+02
0000103   3.5838E+02  4.1282E+02  2.2604E+02
0000104   2.2106E+02 -2.2297E+02  4.4465E+01
0000105   7.7202E+02 -9.9510E+01 -2.4194E+02
0000106   7.3731E+02 -3.5653E+02  2.1554E+02
0000107   9.8203E+02  2.7380E+02  3.2480E+02
0000108   6.8977E+02  5.0883E+00 -2.5241E+02
0000109   7.0160E+02  1.2402E+02 -7.2051E+01
0000110   3.4121E+02 -9.0702E+01 -1.6202E+02
0000111   6.5451E+02 -1.8101E+00 -9.7028E+01
0000112   7.1362E+02 -2.9600E+02  1.7421E+02
0000113   5.5785E+02  4.1133E+01 -3.0054E+00
0000114   3.2223E+02 -6.9763E+01  5.5240E+02
0000115   4.8961E+02  1.8683E+01  4.5114E+01
0000116   5.7607E+02 -3.4555E+02 -3.2163E+01
0000117   3.5221E+02  1.7714E+02  5.2441E+02
0000118   1.0510E+03 -1.5127E+00 -1.1231E+02
0000119   4.4828E+02 -1.7723E+02  4.6083E+02
0000120   5.4322E+02 -4.5926E+02  1.9183E+01
0000121   8.1465E+02 -2.3497E-01 -2.1364E+01
0000122   4.2892E+01 -1.6932E+02 -9.0419E+01
0000123   6.8297E+02 -5.2886E+01  3.1036E+02
0000124   6.4152E+02 -7.9239E+01  1.4911E+02
0000125   9.5847E+02 -2.5489E+01  1.6664E+02
0000126   9.2698E+02 -5.2588E+02 -1.9317E+02
0000127   7.9528E+02  2.0821E+02  1.2835E+02
0000128   6.3765E+02  3.8776E+02  1.8484E+01
0000129   9.3417E+02 -3.3277E+02  2.6831E+02
0000130   5.1022E+02 -1.5343E+02 -1.7854E+02
0000131   5.3964E+02  1.1847E+02 -5.9498E+01
0000132   7.1036E+02 -6.8699E+01 -1.9550E+02
0000133   3.7093E+02 -2.5390E+02  2.7574E+02
0000134   9.3201E+02  1.8512E+02 -4.9660E+02
0000135   8.9175E+02  1.4387E+02 -4.1069E+02
0000136   1.0153E+03 -5.1164E+02 -8.3561E+00
0000137   1.4931E+02 -4.3267E+01 -2.7339E+01
0000138   7.1123E+02  1.8317E+01  1.6797E+02
0000139   8.6761E+02 -2.5557E+02  6.2381E+01
0000140   9.6836E+02 -1.7871E+02  2.4230E+02
0000141   1.0539E+03 -8.0671E+01 -2.7581E+02
0000142   3.2076E+02  1.3132E+02 -2.0174E+01
0000143   6.0767E+02 -1.4947E+02  1.9290E+02
0000144   5.8210E+02  3.0340E+02 -6.7691E+01
0000145   8.8992E+02 -1.7032E+02 -2.7928E+02
0000146   4.5387E+02  1.5408E+02  9.8500E+01
0000147   2.1678E+02 -4.7539E+02 -8.9532E+01
0000148   8.4845E+02  6.3395E+01 -3.3556E+02
0000149   4.7875E+02 -6.5440E+01 -5.6574E+01
0000150   5.6760E+02 -2.7466E+02 -3.0208E+02
0000151   5.2909E+02 -3.8074E+02 -4.5969E+02
0000152   4.4816E+02  2.2732E+02  3.3969E+00
0000153   4.6756E+02 -2.6840E+02  1.3657E+02
0000154   4.6171E+02 -2.2022E+02  1.7573E+02
0000155   6.9026E+02 -1.6059E+02 -9.9577E+01
0000156   5.4945E+02  2.0749E+02  4.9423E+02
0000157   6.7586E+02  1.7820E+02  2.4891E+01
0000158   7.7018E+02 -1.7884E+01 -3.2996E+02
0000159   1.3762E+03  5.2257E+01 -4.7865E+02
0000160   6.3653E+02  1.9511E+02  1.1400E+00
